Game_Name,Steam_App_ID,Genre,Developer,Release_Date,Current_Price
Counter-Strike 2,730,PC Game,Steam Publisher,N/A,Check Store
Dota 2,570,PC Game,Steam Publisher,N/A,Check Store
Forza Horizon 6,2483190,PC Game,Steam Publisher,N/A,Check Store
FiveM,2676230,PC Game,Steam Publisher,N/A,Check Store
PUBG: BATTLEGROUNDS,578080,PC Game,Steam Publisher,N/A,Check Store
Bongo Cat,3419430,PC Game,Steam Publisher,N/A,Check Store
Rust,252490,PC Game,Steam Publisher,N/A,Check Store
Marvel Rivals,2767030,PC Game,Steam Publisher,N/A,Check Store
Apex Legends™,1172470,PC Game,Steam Publisher,N/A,Check Store
Tom Clancy's Rainbow Six Siege,359550,PC Game,Steam Publisher,N/A,Check Store
Slay the Spire 2,2868840,PC Game,Steam Publisher,N/A,Check Store
Dead by Daylight,381210,PC Game,Steam Publisher,N/A,Check Store
Overwatch®,2357570,PC Game,Steam Publisher,N/A,Check Store
ARC Raiders,1808500,PC Game,Steam Publisher,N/A,Check Store
Geometry Dash,322170,PC Game,Steam Publisher,N/A,Check Store
