Game_Name,Month_Year,Avg_Players,Gain_Loss_Percent,Peak_Players
Counter-Strike 2,Last 30 Days,930000.09,-447.856,1516989
Counter-Strike 2,April 2026,974785.71,-943.8741,1564830
Counter-Strike 2,March 2026,1069173.12,-149.2147,1717624
Counter-Strike 2,February 2026,1084094.59,136.50809999999998,1627561
Counter-Strike 2,January 2026,1070443.78,792.6689,1654355
Counter-Strike 2,December 2025,991176.89,96.9444,1620137
Counter-Strike 2,November 2025,981482.45,332.38239999999996,1597285
Counter-Strike 2,October 2025,948244.21,223.03900000000002,1588091
Counter-Strike 2,September 2025,925940.31,-24.8893,1571060
Counter-Strike 2,August 2025,928429.24,83.5926,1502245
Counter-Strike 2,July 2025,920069.98,-900.5400999999999,1427300
Counter-Strike 2,June 2025,1010123.99,-284.7282,1725815
Counter-Strike 2,May 2025,1038596.81,-71.0484,1712216
Counter-Strike 2,April 2025,1045701.65,60.388400000000004,1811827
Counter-Strike 2,March 2025,1039662.81,360.9225,1818368
Counter-Strike 2,February 2025,1003570.56,894.7833999999999,1783434
Counter-Strike 2,January 2025,914092.22,1.3886,1594016
Counter-Strike 2,December 2024,913953.36,617.8906,1740261
Counter-Strike 2,November 2024,852164.3,227.2554,1556938
Counter-Strike 2,October 2024,829438.76,-68.679,1484045
Counter-Strike 2,September 2024,836306.66,-610.3122,1473144
Counter-Strike 2,August 2024,897337.88,219.72799999999998,1425958
Counter-Strike 2,July 2024,875365.08,-721.5545,1342171
Counter-Strike 2,June 2024,947520.53,-106.8681,1510840
Counter-Strike 2,May 2024,958207.34,274.5836,1614925
Counter-Strike 2,April 2024,930748.98,451.1929,1618685
Counter-Strike 2,March 2024,885629.69,989.9887,1521796
Counter-Strike 2,February 2024,786630.82,257.7159,1347519
Counter-Strike 2,January 2024,760859.23,-92.3558,1277907
Counter-Strike 2,December 2023,770094.8,555.8337,1248217
Counter-Strike 2,November 2023,714511.43,-776.1353,1161043
Counter-Strike 2,October 2023,792124.96,-1840.1303,1364902
Counter-Strike 2,September 2023,976137.99,539.8512999999999,1556326
